date,totalChallan,disposedChallan,pendingChallan,pendingAmount,disposedAmount,totalAmount,pendingCourt,disposedCourt,totalCourt
2018-11-27,22746,18082,4664,5806965,32868153,38675118,1764,1021,2785
2024-06-10,220884,72459,148425,224604419,109432472,334036891,75451,9218,84669
2015-05-29,97,19,78,518250,92100,610350,6,0,6
2021-10-22,115657,58535,57122,78458991,75152599,153611590,27866,9287,37153
2015-05-04,52,11,41,319900,40438,360338,0,0,0
2021-11-15,125286,58652,66634,89836946,76045575,165882521,37538,11536,49074
2024-04-08,230204,75279,154925,233493763,102822555,336316318,80154,11479,91633
2017-12-18,1591,530,1061,1058500,2571625,3630125,881,91,972
2023-05-22,194499,78435,116064,184665279,107922665,292587944,74331,14711,89042
2017-10-22,559,156,403,216600,509000,725600,345,28,373
2022-05-16,121533,61154,60379,86662220,79469721,166131941,31986,9003,40989
2016-05-31,1532,74,1458,874250,198450,1072700,1115,4,1119
2021-03-26,131191,64247,66944,76937096,74026897,150963993,28444,11000,39444
2021-02-05,122142,66160,55982,69219575,88804406,158023981,26199,10309,36508
2015-05-02,62,15,47,391000,85350,476350,1,0,1
2015-06-26,124,31,93,1077100,223575,1300675,2,0,2
2015-03-01,61,14,47,373700,92700,466400,1,1,2
2025-10-27,219112,40557,178555,381477049,75127882,456604931,83193,2324,85517
2016-11-11,645,116,529,602700,542919,1145619,379,13,392
2019-07-10,97566,72058,25508,17071307,49412436,66483743,9593,6373,15966
2023-05-26,198245,83054,115191,202901153,125478062,328379215,75818,15750,91568
2023-04-21,173154,72510,100644,166270963,102807576,269078539,60263,12870,73133
2024-11-16,283526,83499,200027,373691005,207700517,581391522,112488,9910,122398
2017-12-20,10795,7523,3272,7149300,10140551,17289851,2770,641,3411
2023-07-28,195338,77283,118055,175641117,107158059,282799176,64951,12523,77474
2023-03-23,193242,85422,107820,202652541,153722005,356374546,62845,14391,77236
2021-09-03,127531,62037,65494,69330945,73233021,142563966,29921,10609,40530
2017-10-27,2859,1618,1241,2646240,6546102,9192342,966,144,1110
2015-06-03,156,46,110,971600,378240,1349840,2,1,3
2016-04-30,1048,117,931,649450,175800,825250,653,40,693
2020-12-07,103122,53930,49192,60342753,58869074,119211827,23809,8140,31949
2020-01-18,108209,44843,63366,18925491,50122460,69047951,51535,9965,61500
2021-04-23,121181,53033,68148,66164967,52281410,118446377,27223,8811,36034
2020-07-06,116907,49759,67148,72946474,55281090,128227564,20063,5818,25881
2022-07-03,114093,57721,56372,78531757,65625337,144157094,37521,10308,47829
2021-08-08,116573,55941,60632,56048534,58033513,114082047,24557,11352,35909
2021-01-19,113771,63122,50649,62148022,77528659,139676681,24349,9662,34011
2021-12-01,131056,63226,67830,85814209,78513840,164328049,20810,7544,28354
2017-03-04,1032,211,821,1429500,544000,1973500,550,48,598
2025-04-22,275828,72192,203636,407245384,122864685,530110069,115254,6437,121691
2024-09-14,226606,71401,155205,244739159,107393186,352132345,89243,9387,98630
2017-01-22,730,144,586,560100,200750,760850,437,51,488
2023-01-17,149808,71196,78612,136151594,105865825,242017419,49641,12344,61985
2015-09-19,64,22,42,278460,52225,330685,2,2,4
2020-11-17,123214,58991,64223,76574520,52736525,129311045,29573,11124,40697
2018-10-30,20613,16434,4179,5318258,28294280,33612538,2355,734,3089
2021-02-21,101495,53338,48157,55349078,62600970,117950048,24547,8767,33314
2025-05-19,285184,73171,212013,406488317,111983010,518471327,110181,6401,116582
2024-02-20,185213,63993,121220,177461401,105405247,282866648,58872,8416,67288
2018-03-09,3511,2848,663,3331601,13309085,16640686,467,150,617
2016-03-25,1540,143,1397,1234000,102100,1336100,1125,78,1203
2025-09-25,259204,52372,206832,412838521,96104236,508942757,98485,3376,101861
2017-02-22,1165,261,904,1315590,648748,1964338,644,19,663
2017-08-19,1671,768,903,1627000,6022806,7649806,723,116,839
2024-05-01,227166,75834,151332,220621694,99806340,320428034,80379,10481,90860
2025-06-15,236576,56917,179659,312666453,78071655,390738108,89018,4557,93575
2018-11-09,15353,12212,3141,3634050,8693819,12327869,1387,559,1946
2024-03-22,246908,87390,159518,269016837,137763745,406780582,85171,12341,97512
2019-01-17,22601,19605,2996,7812976,36557089,44370065,1643,1345,2988
2022-02-27,110895,55408,55487,58803320,60414445,119217765,22866,7204,30070
2017-02-04,872,123,749,657100,276151,933251,572,22,594
2025-01-15,245724,68868,176856,346350408,106194376,452544784,102668,7939,110607
2015-09-29,296,55,241,1354999,178020,1533019,3,11,14
2017-04-21,1126,401,725,1250447,1355095,2605542,344,54,398
2015-01-24,74,17,57,447450,90800,538250,2,1,3
2015-06-14,79,24,55,504250,75600,579850,2,1,3
2024-07-04,238333,75558,162775,241583570,118575690,360159260,82331,9423,91754
2019-07-02,91379,70098,21281,15658798,52729202,68388000,8435,7118,15553
2021-05-23,76138,31717,44421,48823160,39376748,88199908,23204,7754,30958
2015-08-08,96,29,67,418300,116900,535200,0,1,1
2016-06-02,1313,83,1230,1076800,346650,1423450,900,18,918
2022-09-09,127770,61646,66124,105137247,99956190,205093437,40087,10398,50485
2019-02-11,20768,17746,3022,4391319,22368900,26760219,1482,1507,2989
2024-08-31,220542,69683,150859,256695202,97905079,354600281,77785,8790,86575
2025-12-26,272025,40918,231107,411699423,73347968,485047391,36927,1051,37978
2015-08-05,145,70,75,824320,977870,1802190,2,0,2
